Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
15,8,4,Mobile Phone,4,Married,5,0,0,148.41,0
6,13,3,Laptop & Accessory,4,Divorced,1,0,2,143.02,0
5,14,4,Fashion,1,Single,3,1,11,196.43,0
15,12,2,Laptop & Accessory,4,Single,5,0,3,193.7,0
1,15,3,Laptop & Accessory,1,Single,2,0,7,152.53,0
1,18,5,Mobile Phone,5,Single,3,1,1,151,1
4,10,1,Mobile Phone,3,Married,9,0,2,139.78,0
28,14,4,Laptop & Accessory,1,Married,6,0,8,193.54,0
1,15,4,Fashion,3,Single,3,0,,212.26,0
13,31,5,Grocery,1,Married,2,0,7,245.31,0
9,15,2,Mobile Phone,1,Married,3,0,2,147.69,0
14,9,4,Mobile Phone,3,Married,4,0,3,148.45,0
0,,1,Mobile,1,Married,1,0,7,125.44,0
1,5,5,Mobile Phone,4,Married,3,0,1,150.96,1
0,16,4,Fashion,5,Married,10,0,0,203.06,1
3,30,4,Mobile Phone,2,Single,11,0,3,147.01,0
8,17,4,Mobile Phone,3,Married,3,1,1,163.15,0
11,14,4,Laptop & Accessory,5,Married,7,1,5,167.84,0
17,14,1,Mobile,2,Divorced,3,1,2,128.18,0
17,33,4,Grocery,1,Married,3,1,13,294.59,0
7,14,3,Laptop & Accessory,5,Divorced,6,0,2,165,0
0,10,3,Mobile,4,Single,2,0,2,132.95,0
1,16,4,Mobile Phone,5,Single,9,0,5,167,1
19,9,3,Grocery,4,Divorced,9,0,1,266.06,0
3,22,3,Laptop & Accessory,3,Divorced,9,0,2,153.01,0
14,8,3,Grocery,5,Divorced,8,0,8,265.95,0
28,8,4,Grocery,1,Single,8,0,8,298.28,0
28,12,4,Others,5,Divorced,6,0,3,319.06,0
1,15,2,Laptop & Accessory,4,Married,2,0,3,173.51,0
25,6,3,Grocery,2,Divorced,3,0,8,270.99,0
1,8,3,Laptop & Accessory,4,Married,5,0,4,148.55,1
3,16,4,Laptop & Accessory,3,Divorced,2,0,4,165.78,0
15,16,3,Mobile,3,Married,4,0,3,129.36,0
9,32,3,Laptop & Accessory,3,Married,7,0,2,153.47,0
12,17,4,Laptop & Accessory,3,Married,5,0,3,185.77,0
1,10,4,Laptop & Accessory,5,Divorced,3,1,4,166.94,0
5,9,4,Mobile Phone,2,Married,2,1,3,151.95,0
5,35,4,Mobile,4,Single,2,0,1,128.37,0
6,33,4,Laptop & Accessory,1,Married,2,0,3,169.65,0
18,14,4,Others,1,Married,2,1,11,315.49,0
13,15,4,Laptop & Accessory,1,Married,10,0,2,148.76,0
9,7,5,Mobile Phone,3,Married,8,0,8,147.58,0
9,32,5,Laptop & Accessory,2,Single,6,0,3,161.81,0
4,14,5,Mobile Phone,4,Married,3,0,2,146.41,0
8,14,3,Laptop & Accessory,3,Married,2,0,9,141.48,0
9,15,4,Laptop & Accessory,4,Married,3,1,2,188.47,0
1,7,4,Mobile Phone,1,Single,3,1,9,151.86,1
15,20,4,Laptop & Accessory,3,Single,8,0,3,162.44,0
24,15,3,Others,4,Married,5,1,10,298.47,0
24,13,4,Laptop & Accessory,3,Married,3,0,0,161.32,0
2,6,3,Fashion,1,Married,2,0,1,179.18,0
19,7,1,Grocery,5,Single,2,0,12,275.67,0
16,12,4,Laptop & Accessory,3,Single,2,1,8,140.81,0
21,16,4,Others,4,Married,5,0,9,296.65,0
2,8,3,Laptop & Accessory,1,Married,2,0,3,188.53,0
6,6,2,Grocery,3,Married,5,0,5,261.84,0
12,34,4,Laptop & Accessory,5,Single,4,0,3,142.84,1
30,18,5,Laptop & Accessory,5,Married,6,0,1,178.8,0
12,11,4,Mobile Phone,3,Married,9,0,1,158.06,0
8,,4,Mobile,3,Married,1,0,2,124.3,0
3,28,4,Laptop & Accessory,3,Married,3,1,0,163.8,1
11,32,5,Laptop & Accessory,1,Married,9,0,4,182.31,0
0,7,3,Mobile,3,Single,1,0,2,133.75,0
3,22,6,Mobile Phone,1,Married,2,1,4,146.68,0
1,16,4,Mobile Phone,5,Single,3,0,1,150.52,0
8,14,3,Mobile Phone,3,Single,2,0,4,143.23,0
4,7,5,Fashion,3,Single,3,0,,209.74,0
5,16,3,Mobile,3,Married,7,0,3,134.33,0
31,22,4,Grocery,3,Married,4,1,3,282.87,0
4,14,3,Grocery,4,Single,4,0,0,264.22,0
12,21,3,Grocery,5,Single,1,0,10,233.41,0
7,6,4,Mobile Phone,2,Divorced,2,1,3,136.22,0
12,30,3,Laptop & Accessory,1,Single,8,0,7,141.08,0
0,8,1,Mobile,5,Single,8,0,1,134.24,0
14,16,4,Laptop & Accessory,5,Married,2,0,2,179.73,0
18,8,4,Grocery,2,Divorced,10,0,8,267.92,0
,15,3,Mobile Phone,5,Married,2,0,0,117.9,1
11,26,4,Laptop & Accessory,3,Married,5,0,3,182.68,0
21,14,5,Fashion,5,Married,9,1,,225.08,1
9,9,4,Laptop & Accessory,4,Single,7,0,3,169.25,0
10,12,3,Laptop & Accessory,1,Married,5,0,1,165.02,0
8,17,4,Mobile Phone,4,Married,3,0,1,145.08,0
25,6,4,Others,3,Married,1,0,9,299.99,0
14,8,3,Grocery,4,Single,2,0,4,260.15,0
0,6,4,Laptop & Accessory,5,Married,2,0,7,197.14,1
1,16,5,Mobile Phone,3,Divorced,2,1,1,158.88,1
14,16,5,Laptop & Accessory,4,Single,2,0,9,161.51,0
11,16,3,Laptop & Accessory,3,Married,4,0,2,160.77,0
3,9,4,Mobile Phone,4,Married,2,0,3,156.8,0
0,28,4,Mobile,4,Married,2,0,0,128.63,1
19,36,4,Mobile Phone,1,Single,7,0,4,159.52,0
20,8,4,Mobile,1,Single,2,1,2,132.94,0
,7,4,Mobile,4,Married,1,0,2,122.69,0
28,29,4,Grocery,3,Married,5,0,8,299.26,0
,20,3,Mobile,5,Divorced,2,1,8,122.35,0
5,31,4,Laptop & Accessory,1,Single,4,0,5,177.38,0
0,6,3,Laptop & Accessory,3,Married,1,0,2,148.98,0
,30,4,Mobile,3,Single,6,1,3,120.28,1
15,,1,Laptop & Accessory,4,Divorced,7,1,0,123.72,0
0,30,5,Mobile Phone,2,Single,2,1,0,111.18,1
5,15,2,Mobile Phone,4,Single,11,0,3,146.09,0
5,10,4,Mobile Phone,5,Married,3,1,4,155.65,0
15,8,3,Grocery,5,Divorced,1,0,7,276.65,0
2,15,4,Mobile Phone,1,Single,3,0,3,158.1,0
1,15,3,Laptop & Accessory,4,Divorced,2,0,3,173.51,0
24,9,4,Others,3,Married,4,1,8,317.37,0
16,31,4,Fashion,5,Divorced,3,1,9,199.06,0
1,14,6,Laptop & Accessory,3,Single,3,1,7,185.74,1
0,11,3,Mobile,3,Single,2,1,0,128.51,1
29,15,3,Grocery,2,Divorced,8,0,,211.03,0
20,14,4,Laptop & Accessory,3,Divorced,4,0,1,177.58,0
20,11,3,Others,3,Divorced,5,0,1,283,0
7,9,5,Laptop & Accessory,5,Single,4,0,12,147.59,0
19,13,3,Laptop & Accessory,3,Divorced,3,0,0,152.58,0
9,10,4,Fashion,1,Married,8,0,9,203.23,0
13,8,1,Laptop & Accessory,4,Married,2,0,7,142.44,0
6,7,4,Laptop & Accessory,4,Married,3,0,10,187.2,0
10,16,4,Laptop & Accessory,2,Married,3,1,0,166.94,0
9,9,4,Mobile Phone,1,Married,3,0,3,145.14,0
1,15,6,Mobile Phone,5,Married,3,0,2,149.51,0
1,8,4,Mobile,4,Divorced,1,0,4,132.01,0
12,16,3,Laptop & Accessory,5,Married,3,0,7,153.77,0
5,7,3,Fashion,1,Married,2,0,7,204.22,0
8,14,4,Mobile Phone,3,Married,2,1,8,148.08,0
1,7,4,Laptop & Accessory,4,Married,3,0,5,188.97,0
0,14,1,Mobile,3,Married,8,0,2,135.17,0
16,15,3,Laptop & Accessory,3,Married,4,1,7,156.79,0
18,35,2,Grocery,2,Divorced,5,1,12,258.2,0
5,12,4,Laptop & Accessory,1,Married,3,0,3,179.76,0
6,10,3,Laptop & Accessory,4,Married,6,0,7,130.55,0
,11,3,Laptop & Accessory,1,Married,4,0,0,120.86,1
9,8,4,Fashion,3,Divorced,2,0,0,175.96,0
24,11,3,Grocery,4,Married,2,1,10,240.26,0
10,7,5,Laptop & Accessory,3,Married,2,0,3,168.74,0
22,9,3,Laptop & Accessory,4,Divorced,5,0,3,206.2,0
6,7,4,Mobile Phone,1,Married,2,0,3,148.14,0
3,9,4,Laptop & Accessory,3,Married,3,0,3,171.49,0
0,,3,Mobile,4,Single,2,1,0,124.72,1
0,,3,Mobile,4,Married,3,1,2,123.73,1
1,16,4,Mobile Phone,5,Single,4,1,1,156.72,1
5,10,3,Mobile Phone,4,Married,3,0,2,139.31,0
10,16,3,Laptop & Accessory,4,Single,3,1,1,141.97,0
27,25,3,Fashion,4,Divorced,3,0,1,207.25,0
0,8,3,Mobile Phone,3,Single,7,0,1,143.82,1
15,8,4,Laptop & Accessory,2,Single,4,0,0,167.81,0
5,8,3,Laptop & Accessory,4,Married,1,1,2,140.78,0
21,9,5,Mobile Phone,1,Married,11,1,1,148.8,1
14,9,4,Mobile Phone,3,Married,4,0,3,145.01,0
11,6,1,Mobile,3,Divorced,2,0,0,128.44,0
10,8,6,Fashion,5,Married,4,1,,227.52,0
14,9,4,Others,3,Married,2,0,13,305.41,0
0,10,4,Laptop & Accessory,2,Single,2,1,3,144.87,0
19,31,4,Mobile Phone,4,Single,3,0,5,146.77,0
3,21,4,Fashion,5,Married,3,0,7,171.4,0
11,6,4,Fashion,3,Single,10,1,0,153.81,1
3,18,3,Laptop & Accessory,3,Single,1,0,4,165.77,0
10,15,4,Laptop & Accessory,4,Married,2,0,3,141.89,0
21,13,3,Laptop & Accessory,5,Married,5,0,2,154.86,0
14,7,4,Laptop & Accessory,1,Married,6,0,4,190.13,0
9,14,1,Fashion,5,Married,10,0,,217.13,0
11,8,6,Laptop & Accessory,1,Married,3,0,,220.25,0
5,6,3,Mobile,5,Single,2,0,0,129.56,0
9,15,4,Mobile Phone,3,Single,3,0,5,168.23,0
28,10,4,Laptop & Accessory,5,Married,4,0,6,184.4,0
9,28,4,Laptop & Accessory,1,Married,3,1,8,165.14,0
24,6,4,Others,3,Married,6,1,1,318.31,0
0,31,4,Mobile,4,Single,5,1,2,123.13,1
4,11,3,Laptop & Accessory,5,Single,1,0,7,199.36,0
2,15,3,Mobile,3,Married,10,0,2,129.74,0
8,9,5,Mobile Phone,5,Single,3,0,4,168.81,0
1,12,4,Mobile,2,Single,3,0,1,135.51,0
31,25,4,Fashion,2,Single,8,0,,230.12,0
17,7,3,Mobile,1,Married,5,1,2,131.95,0
10,19,3,Laptop & Accessory,1,Married,2,0,7,142.85,0
1,20,4,Laptop & Accessory,5,Married,4,0,3,167.33,1
12,6,2,Fashion,2,Married,1,0,7,196.13,0
16,7,4,Mobile Phone,5,Married,5,0,3,150.76,0
6,15,5,Laptop & Accessory,4,Married,3,1,10,177.28,0
3,28,2,Fashion,5,Married,3,0,,224.8,0
9,15,4,Mobile Phone,2,Divorced,3,0,3,150.72,0
17,17,4,Mobile Phone,1,Single,2,0,8,149.55,0
12,17,3,Fashion,1,Married,2,0,7,176.54,1
16,33,3,Fashion,5,Married,9,0,1,208.2,0
0,,4,Mobile,1,Married,6,0,3,123.67,1
25,8,4,Mobile,2,Single,8,0,2,132.12,0
20,33,5,Laptop & Accessory,4,Single,10,0,3,204.91,0
12,12,1,Fashion,3,Married,3,0,6,182.37,0
7,9,3,Mobile Phone,2,Divorced,1,0,2,137.37,0
12,12,4,Fashion,5,Married,5,0,7,199.91,0
1,31,4,Mobile Phone,4,Married,3,1,1,149.08,1
18,10,3,Laptop & Accessory,4,Married,2,0,8,144.47,0
7,9,3,Laptop & Accessory,1,Single,1,0,4,177.56,0
14,31,4,Laptop & Accessory,2,Married,3,0,8,158.19,0
12,7,4,Fashion,5,Married,3,0,12,260.82,0
16,17,3,Fashion,3,Married,2,0,9,175.1,0
30,11,4,Fashion,4,Married,3,1,4,205.52,0
25,9,6,Laptop & Accessory,4,Married,7,0,3,179.82,0
7,23,4,Laptop & Accessory,1,Married,3,1,3,178.68,0
29,7,4,Others,5,Single,2,1,14,315.45,0
13,8,3,Others,3,Married,1,0,9,294.36,0
6,14,1,Mobile,5,Married,7,0,6,131.43,0
10,7,4,Laptop & Accessory,2,Single,6,0,1,191.53,0
1,36,5,Laptop & Accessory,3,Single,3,0,9,170.08,1
1,19,4,Mobile Phone,1,Single,3,0,5,151.47,0
23,23,4,Fashion,5,Married,6,0,11,232.69,0
4,35,4,Laptop & Accessory,1,Married,2,0,7,154.68,0
13,8,3,Others,3,Married,1,0,12,280.41,0
27,9,5,Fashion,4,Divorced,4,0,13,200.25,0
10,9,4,Laptop & Accessory,4,Married,6,1,1,194.62,0
31,13,4,Mobile Phone,3,Divorced,10,0,3,147.67,0
26,29,3,Grocery,1,Single,7,0,8,242.75,0
5,14,4,Fashion,2,Single,3,1,11,196.43,0
0,8,1,Laptop & Accessory,3,Single,1,0,7,165,0
,13,2,Mobile,2,Married,5,0,2,120.89,0
,26,3,Mobile,1,Married,2,0,2,121.57,0
4,16,4,Laptop & Accessory,5,Married,3,0,11,155.72,0
7,14,1,Laptop & Accessory,3,Married,2,0,8,167.99,0
0,10,5,Fashion,1,Married,2,0,8,204,1
11,,1,Mobile,3,Married,2,0,3,126.1,0
21,11,4,Laptop & Accessory,1,Single,3,1,8,166.63,0
60,27,3,Grocery,1,Married,5,1,0,278.75,0
16,,3,Mobile,1,Single,1,0,7,124.55,0
1,32,5,Mobile Phone,4,Divorced,7,0,2,150.46,1
13,25,3,Laptop & Accessory,1,Married,9,1,7,127.41,0
20,20,3,Laptop & Accessory,3,Married,4,1,2,145.91,0
4,7,5,Fashion,3,Single,3,0,,209.74,0
5,15,4,Grocery,4,Single,5,0,1,289.22,0
8,,4,Mobile,3,Married,1,0,2,124.3,0
22,24,3,Laptop & Accessory,2,Married,2,1,7,168.04,0
30,16,4,Mobile Phone,3,Divorced,4,0,4,154.42,0
14,12,3,Fashion,1,Single,4,1,0,235.91,0
1,28,4,Mobile Phone,3,Married,3,0,1,148.77,1
10,17,4,Fashion,1,Single,3,0,,224.8,0
1,11,3,Laptop & Accessory,1,Single,2,0,2,149.08,0
7,15,4,Laptop & Accessory,5,Married,4,0,3,188.92,0
0,13,4,Laptop & Accessory,5,Single,9,0,7,168.11,0
5,9,4,Mobile Phone,3,Married,2,0,3,155.67,0
11,9,4,Laptop & Accessory,3,Divorced,6,1,,221.02,0
11,12,4,Laptop & Accessory,1,Married,9,0,5,188.47,0
15,12,2,Mobile Phone,3,Married,4,1,4,146.27,0
,8,4,Mobile,3,Single,2,0,0,122.74,0
8,24,3,Laptop & Accessory,5,Married,1,0,4,0,0
,17,3,Mobile,4,Married,2,0,2,122.44,0
10,9,5,Fashion,3,Divorced,3,0,1,200.96,0
0,14,3,Laptop & Accessory,3,Married,1,1,4,149.07,0
12,9,5,Mobile Phone,4,Single,3,0,4,149.4,0
6,19,3,Mobile,1,Single,4,0,2,134.52,0
31,31,2,Fashion,1,Married,5,1,,219.39,0
10,33,1,Laptop & Accessory,3,Single,5,1,3,163.97,1
0,12,4,Mobile,2,Single,2,1,0,129.26,1
30,8,4,Grocery,2,Single,4,1,3,237.26,0
20,21,4,Mobile Phone,4,Divorced,11,1,4,174.63,1
17,,3,Mobile,1,Single,7,1,2,124.36,0
1,11,2,Mobile Phone,5,Married,4,0,3,153.19,0
29,15,3,Mobile,3,Married,3,0,3,129.42,0
0,,3,Mobile,4,Single,1,0,2,124.22,1
1,9,2,Laptop & Accessory,3,Married,3,0,8,177.06,0
11,9,5,Laptop & Accessory,1,Married,7,0,1,176.63,0
22,29,4,Grocery,1,Married,5,0,8,296.74,0
24,17,4,Grocery,4,Single,4,0,,231.42,0
0,,3,Mobile,5,Single,2,1,2,123.8,0
9,35,2,Laptop & Accessory,3,Married,3,0,9,159.07,0
19,27,6,Fashion,5,Married,4,1,8,233.51,0
23,35,4,Grocery,3,Divorced,1,0,7,270.46,0
1,7,4,Mobile Phone,4,Married,3,0,5,163.16,0
22,7,3,Grocery,3,Single,5,0,0,253.79,0
4,9,3,Mobile,5,Married,2,1,3,130.65,0
4,32,5,Fashion,4,Single,4,1,,215.94,1
13,8,3,Laptop & Accessory,4,Married,8,0,3,157.15,0
1,16,5,Mobile Phone,5,Divorced,5,0,3,169,1
6,,3,Mobile,2,Single,1,0,2,125,0
5,36,5,Laptop & Accessory,1,Married,3,0,8,179.68,0
15,16,3,Grocery,5,Divorced,1,0,9,267.99,0
6,17,4,Mobile Phone,3,Married,8,0,4,159.33,0
15,8,3,Grocery,3,Married,1,1,10,278.61,0
15,11,6,Laptop & Accessory,4,Married,8,0,3,189.3,0
3,9,5,Laptop & Accessory,4,Divorced,4,0,1,191.44,0
11,9,3,Mobile,3,Married,4,0,2,128.21,0
5,18,4,Laptop & Accessory,5,Married,3,1,2,193.33,0
3,13,4,Mobile Phone,5,Divorced,9,1,3,149.04,1
10,24,5,Laptop & Accessory,4,Married,4,0,4,180.07,0
19,9,6,Laptop & Accessory,3,Single,2,0,2,191.32,0
9,9,4,Laptop & Accessory,5,Married,4,0,1,175.93,0
,13,3,Mobile Phone,3,Married,2,0,0,112.74,0
,18,4,Mobile,5,Divorced,2,0,0,120.33,1
29,9,5,Others,5,Married,10,0,1,315.38,0
13,,4,Mobile,1,Single,1,1,3,123.42,0
11,,3,Mobile,3,Married,3,1,7,126.55,1
18,19,1,Grocery,3,Single,7,1,8,236.95,1
10,12,2,Laptop & Accessory,5,Married,5,1,7,159.74,0
8,16,3,Mobile Phone,1,Married,2,0,2,139.17,0
1,9,4,Mobile Phone,4,Single,3,0,1,138.93,1
8,7,4,Fashion,1,Single,3,0,,223.88,0
6,8,5,Mobile Phone,4,Married,2,0,3,147.69,0
1,27,4,Laptop & Accessory,3,Single,2,0,3,147.72,0
9,14,4,Fashion,5,Single,2,0,9,175.87,0
3,31,3,Laptop & Accessory,3,Married,8,1,2,147.36,0
9,11,3,Fashion,5,Married,5,0,2,180.08,0
30,6,3,Laptop & Accessory,3,Divorced,3,0,2,167.55,0
25,9,4,Fashion,3,Married,3,1,4,179.69,0
23,8,3,Grocery,5,Married,2,0,7,279.24,0
6,6,4,Laptop & Accessory,1,Single,1,0,4,169.49,0
,8,4,Mobile,3,Single,7,1,0,120.9,1
13,10,5,Laptop & Accessory,3,Married,2,0,8,155.69,0
14,8,3,Grocery,5,Married,8,0,8,265.95,0
0,,4,Mobile,2,Single,2,0,0,125.64,1
24,31,4,Grocery,3,Divorced,5,1,6,264.73,0
6,7,4,Laptop & Accessory,5,Married,6,0,3,165.87,0
,6,4,Mobile,3,Married,7,0,7,122.58,0
1,12,4,Mobile Phone,3,Single,3,1,1,153.51,1
6,21,3,Laptop & Accessory,1,Married,1,1,1,148.78,0
,19,3,Mobile,3,Divorced,2,0,6,120.96,0
0,25,4,Mobile Phone,5,Married,2,0,7,140.66,0
1,22,4,Mobile Phone,1,Single,3,0,1,153.71,0
1,10,5,Mobile Phone,3,Single,3,0,1,157.3,0
26,7,5,Others,3,Divorced,2,0,10,324.99,0
8,28,5,Mobile Phone,3,Single,1,0,3,142.3,0
28,27,4,Laptop & Accessory,3,Single,5,0,4,173.69,0
0,24,3,Laptop & Accessory,3,Divorced,1,1,2,146.14,1
2,33,3,Laptop & Accessory,3,Married,5,0,1,143.35,0
6,20,5,Mobile Phone,4,Divorced,3,0,3,152.43,0
6,13,3,Fashion,3,Married,1,0,,216.91,0
1,15,5,Mobile Phone,3,Single,3,1,3,164.89,1
19,6,3,Fashion,5,Married,8,0,3,193.96,0
1,16,5,Mobile Phone,3,Married,2,1,1,158.88,1
21,33,4,Others,3,Married,5,0,1,321.58,0
1,17,5,Mobile Phone,3,Single,3,0,3,151.25,1
21,9,4,Laptop & Accessory,2,Married,7,0,5,175.7,0
7,14,1,Laptop & Accessory,3,Married,3,0,2,144.04,0
16,9,4,Fashion,1,Married,4,1,,226.24,0
,27,4,Mobile,5,Married,1,0,0,122.96,0
15,13,4,Fashion,1,Single,5,1,1,260.91,0
20,9,3,Grocery,3,Married,10,1,13,237.7,0
30,22,3,Laptop & Accessory,5,Single,9,0,2,154.05,0
6,34,3,Laptop & Accessory,3,Married,2,1,7,152.07,0
0,15,3,Mobile,3,Married,2,0,2,127.42,1
8,8,5,Others,4,Single,3,1,11,288.24,1
5,35,3,Mobile Phone,3,Single,10,0,7,140.25,0
,13,3,Mobile,5,Single,4,1,3,121.66,1
1,8,6,Laptop & Accessory,4,Single,8,0,1,192.35,1
8,7,5,Mobile Phone,1,Married,3,1,4,161.22,0
19,10,4,Others,4,Divorced,3,0,8,287.89,0
16,11,4,Laptop & Accessory,5,Single,9,0,6,176.55,0
0,6,3,Mobile Phone,1,Married,10,1,2,147.87,1
0,11,3,Mobile,1,Single,2,0,2,131.17,0
18,11,5,Laptop & Accessory,5,Single,2,1,4,157.69,0
15,29,3,Grocery,1,Single,3,0,0,259.92,0
1,22,1,Laptop & Accessory,5,Single,1,0,7,156.61,0
23,15,3,Others,3,Married,5,1,0,293.31,0
3,26,3,Laptop & Accessory,5,Divorced,1,0,2,199.57,0
14,12,3,Mobile Phone,5,Single,3,1,17,147.21,0
26,29,3,Grocery,2,Single,7,0,8,242.75,0
3,27,4,Mobile Phone,1,Married,3,0,11,163.12,0
8,22,3,Fashion,3,Divorced,5,1,0,176.32,0
0,,4,Mobile,5,Single,8,0,0,125.61,1
31,7,6,Laptop & Accessory,3,Married,4,1,3,181.6,0
18,13,3,Fashion,5,Married,2,0,11,152.1,0
1,31,5,Fashion,5,Single,3,0,,212.22,1
1,11,6,Fashion,2,Divorced,3,0,,229,1
11,8,4,Fashion,3,Married,4,1,2,177.56,0
9,6,3,Laptop & Accessory,1,Single,5,0,0,166.53,0
10,22,4,Laptop & Accessory,3,Married,5,0,0,163.34,0
28,24,3,Grocery,4,Single,4,0,7,268.35,0
27,20,2,Laptop & Accessory,5,Married,3,0,4,169.5,0
0,15,3,Laptop & Accessory,5,Single,4,1,3,182.24,1
19,11,4,Laptop & Accessory,5,Married,6,1,4,175.06,0
0,,3,Mobile,5,Single,2,1,2,123.8,0
12,12,3,Fashion,4,Single,5,0,2,183.76,0
20,10,2,Grocery,5,Married,4,0,9,257.25,0
29,25,4,Grocery,4,Single,5,0,8,293.35,0
13,18,3,Laptop & Accessory,5,Married,3,0,7,144.48,0
1,11,5,Laptop & Accessory,5,Married,3,0,4,167.56,0
13,6,3,Laptop & Accessory,3,Single,4,1,0,147.28,1
5,27,4,Laptop & Accessory,3,Married,3,0,3,166.97,0
23,17,3,Others,4,Single,4,0,4,299.26,0
0,6,4,Mobile,4,Single,2,0,0,128.36,0
20,9,4,Laptop & Accessory,2,Married,4,0,5,198.79,0
18,8,4,Mobile Phone,1,Single,8,1,3,149.36,0
12,15,3,Laptop & Accessory,4,Single,10,0,3,167.82,0
5,12,4,Mobile Phone,4,Married,3,0,3,152.89,0
7,8,4,Mobile Phone,5,Single,2,0,3,143.81,0
29,9,4,Fashion,4,Married,5,0,3,234.76,0
7,6,4,Laptop & Accessory,5,Single,1,0,9,153.43,0
4,34,4,Laptop & Accessory,1,Married,9,0,8,178.04,0
19,9,3,Grocery,3,Married,4,0,9,274.65,0
21,,3,Mobile,5,Married,9,0,6,123.67,0
20,31,3,Fashion,3,Single,3,0,11,186.33,0
29,7,2,Grocery,2,Married,4,0,1,272.32,0
1,13,5,Mobile Phone,4,Married,3,0,4,148.68,0
7,7,5,Mobile Phone,3,Married,3,0,1,145.08,0
1,17,4,Grocery,5,Married,3,1,11,295.68,0
1,32,4,Mobile Phone,3,Married,3,0,8,154.42,0
8,22,4,Laptop & Accessory,5,Single,3,0,7,186.25,0
5,9,6,Mobile Phone,2,Married,6,1,1,152.78,1
1,22,4,Laptop & Accessory,3,Married,9,0,1,173.34,1
25,13,3,Fashion,4,Single,8,0,0,204.45,0
18,34,4,Grocery,4,Single,2,0,6,267.04,0
20,10,4,Grocery,4,Divorced,10,0,2,291.06,0
11,28,3,Mobile Phone,5,Divorced,3,1,8,160.64,0
2,15,3,Mobile,3,Married,10,0,2,129.74,0
4,12,4,Mobile,3,Married,2,1,2,127.03,0
,18,4,Mobile,5,Married,2,0,0,120.33,1
5,11,3,Mobile,4,Single,3,0,7,127.18,0
15,13,5,Laptop & Accessory,4,Single,8,1,3,185.32,0
17,6,3,Laptop & Accessory,5,Married,6,1,3,154.54,0
5,6,3,Laptop & Accessory,1,Married,2,1,8,161.62,0
0,6,5,Laptop & Accessory,4,Single,7,0,0,167.35,1
,16,4,Mobile Phone,5,Single,2,0,0,114.16,1
10,15,5,Mobile Phone,5,Married,2,0,4,148.42,0
5,12,4,Laptop & Accessory,3,Married,3,0,3,208.46,0
1,15,5,Mobile Phone,4,Single,3,0,1,137.61,1
19,8,3,Fashion,1,Married,5,1,3,203.68,0
1,27,4,Laptop & Accessory,3,Single,2,0,3,147.72,0
7,21,3,Laptop & Accessory,5,Single,2,0,6,161.25,0
,6,3,Mobile,3,Married,8,0,2,122.32,0
19,32,4,Others,4,Single,5,0,1,305.61,0
16,17,4,Grocery,5,Married,2,0,10,292.99,0
12,8,4,Laptop & Accessory,2,Divorced,9,0,4,152.04,0
7,9,4,Laptop & Accessory,4,Single,10,0,8,176.47,0
6,9,5,Laptop & Accessory,5,Single,6,0,5,146.76,0
1,25,4,Mobile Phone,3,Married,2,0,3,152.74,0
31,28,4,Grocery,1,Married,6,1,1,303.75,0
0,14,3,Fashion,3,Single,2,0,7,187.26,0
14,6,4,Others,3,Divorced,2,0,10,291.89,0
17,8,3,Fashion,3,Single,6,1,2,202.09,0
0,16,3,Laptop & Accessory,1,Single,2,0,2,146.84,0
3,17,5,Laptop & Accessory,3,Single,11,0,5,183.69,0
30,13,1,Laptop & Accessory,2,Married,1,1,9,152.2,0
6,7,4,Fashion,1,Married,3,0,,229.22,0
,9,4,Mobile Phone,3,Married,2,0,0,112.81,0
7,17,4,Laptop & Accessory,3,Single,3,0,10,179.87,0
0,29,4,Fashion,5,Divorced,2,0,10,173.36,1
0,9,4,Mobile,3,Single,2,0,0,132.3,0
3,7,5,Grocery,2,Married,5,0,8,286.24,0
10,16,5,Laptop & Accessory,4,Married,4,1,,213.47,0
8,22,3,Fashion,4,Divorced,1,0,9,180.2,0
5,10,4,Laptop & Accessory,3,Married,2,0,8,161.62,0
0,10,3,Mobile,5,Single,2,0,0,129.73,1
18,7,4,Mobile Phone,1,Married,6,1,3,156.95,0
11,9,3,Laptop & Accessory,1,Single,9,1,0,168.61,0
,23,3,Mobile,4,Divorced,2,0,0,122.1,1
1,17,4,Mobile Phone,1,Married,2,0,2,146.45,0
7,24,5,Mobile Phone,3,Married,11,1,1,149.37,1
0,30,4,Fashion,5,Single,2,0,9,187.22,1
9,9,5,Fashion,4,Married,4,0,,227.74,0
13,12,3,Grocery,3,Single,8,0,13,232.37,0
1,10,5,Mobile Phone,3,Married,3,1,2,150.66,0
1,7,5,Laptop & Accessory,3,Single,3,0,3,171.17,0
9,15,1,Mobile,4,Married,2,0,2,128.1,0
12,23,4,Laptop & Accessory,4,Single,4,0,3,166.98,0
8,16,4,Fashion,2,Married,2,0,,210,0
6,,4,Mobile,3,Married,10,1,0,124.37,1
4,17,4,Fashion,3,Single,11,0,,221.67,0
0,,3,Mobile,5,Divorced,2,0,2,125,0
14,35,6,Fashion,5,Married,5,0,2,234.32,0
26,10,5,Grocery,5,Divorced,3,0,17,293.56,0
19,7,4,Mobile Phone,1,Married,5,0,3,147.7,0
3,8,4,Laptop & Accessory,1,Single,6,1,0,168.77,0
